Import Refinement Started: 2026-04-10 12:37:23
Processed Unit: AAK 4591 (Status: maintenance, D1: 1, D2: )
Processed Unit: NEF 4940 (Status: active, D1: 64, D2: 65)
Processed Unit: NEI 4883 (Status: active, D1: 66, D2: )
Processed Unit: NEN 2955 (Status: active, D1: 67, D2: )
Processed Unit: NEN 2957 (Status: active, D1: 68, D2: 69)
Processed Unit: NEO 67116 (Status: active, D1: 70, D2: 71)
Processed Unit: NEP 2440 (Status: active, D1: 72, D2: 73)
Processed Unit: NEP 9750 (Status: active, D1: 74, D2: 75)
Processed Unit: NET 6100 (Status: active, D1: 76, D2: 77)
Processed Unit: NEU 5546 (Status: active, D1: 78, D2: 79)
Processed Unit: NEV 5065 (Status: active, D1: 80, D2: 81)
Processed Unit: NEW 3821 (Status: active, D1: 82, D2: 83)
Processed Unit: NEW 6279 (Status: active, D1: 84, D2: 85)
Processed Unit: NFH 3664 (Status: active, D1: 86, D2: 87)
Processed Unit: NFZ 8295 (Status: active, D1: 88, D2: )
Processed Unit: NGA 5044 (Status: active, D1: 89, D2: 89)
Processed Unit: NGA 7736 (Status: active, D1: 90, D2: )
Processed Unit: NGB 2854 (Status: active, D1: 91, D2: )
Processed Unit: NGB 6033 (Status: active, D1: 92, D2: )
Processed Unit: NGF 1484 (Status: active, D1: 93, D2: )
Processed Unit: NGO 2629 (Status: active, D1: 94, D2: 95)
Processed Unit: NGP 1877 (Status: active, D1: 96, D2: 97)
Processed Unit: ULO 884 (Status: maintenance, D1: 98, D2: 99)
Processed Unit: UWD 421 (Status: active, D1: 100, D2: )
Processed Unit: UWD 431 (Status: active, D1: 101, D2: )
Processed Unit: UWN 226 (Status: active, D1: 102, D2: )
Processed Unit: VAA 9864 (Status: active, D1: 103, D2: )
Processed Unit: VFL 543 (Status: vacant, D1: , D2: )

DONE. Processed: 89 units + 2 extra.
